ScreenName,Time,Date,TimeZone,Tweet,InReplyToUserID,FavoriteCount,RetweetCount,SentimentAverage
@BernieSanders,05:39:47,06/04/16,UTC,"RT @lacoliseum: Presidential candidate @BernieSanders will speak at the LAMC's Olympic Plaza tomorrow, June 4th.
4 more info visit: https:/…",None,0,548,0.0
@BernieSanders,02:41:04,06/04/16,UTC,"Through an extraordinary grassroots movement we beat back the effort to cut Social Security. 
https://t.co/Y07vOl2wUe",None,1939,849,0.0
@BernieSanders,02:06:48,06/04/16,UTC,"Bernie going for the full California experience at In-N-Out! https://t.co/2yhzJKFR19",None,24939,9850,0.0
@BernieSanders,00:56:02,06/04/16,UTC,"Our job is to take on Wall Street, not take their money.",None,3465,1231,0.0
@BernieSanders,23:20:06,06/03/16,UTC,"Join Bernie in San Francisco for a GOTV concert featuring special musical guests. RSVP here: https://t.co/6xBT6nwGbP #SFforBernie",None,1381,651,0.0
@BernieSanders,22:34:04,06/03/16,UTC,"Last week marked the one year anniversary of this campaign. Join us for a trip down memory lane.
https://t.co/c610um3vnY",None,2893,1027,0.0
@BernieSanders,21:49:21,06/03/16,UTC,"RT @nbcbayarea: WATCH LIVE: Bernie Sanders to speak at rally in Fairfield https://t.co/S3lIMPsJJj https://t.co/6qOa0VvPJD",None,0,357,0.0
@BernieSanders,21:38:02,06/03/16,UTC,"Republicans hate the government – unless you’re a woman. Then they love the government dictating what you can do with your own body.",None,8036,3803,0.0
@BernieSanders,19:48:01,06/03/16,UTC,"If you're doing everything right but find it harder and harder to get by, you're not alone.
https://t.co/o4MqUQIW5N",None,4847,2706,0.0
@BernieSanders,19:12:49,06/03/16,UTC,"RT @CNNSotu: Sunday on #CNNSOTU: @BernieSanders joins @jaketapper to discuss the state of the race ahead of Tuesday's contests. https://t.c…",None,0,404,0.0
@BernieSanders,18:19:01,06/03/16,UTC,"En una noche cualquiera, casi 565,000 personas no tienen hogar en Estados Unidos. Esa es una vergüenza nacional.",None,1041,492,0.0
@BernieSanders,17:24:04,06/03/16,UTC,"We need police forces that reflect the diversity of our communities, including in the training academies and leadership.",None,2725,929,0.0
@BernieSanders,16:22:03,06/03/16,UTC,"The American people overwhelmingly tell us they want to expand Social Security. With your support, that’s exactly what we’re going to do.",None,2627,939,0.0
@BernieSanders,15:53:24,06/03/16,UTC,"Americans need a president who will think about their future 10, 15, 20 years down the line. Someone with judgement.
https://t.co/pyloTtOzs7",None,4723,2592,0.0
@BernieSanders,15:02:46,06/03/16,UTC,"RT @sahilkapur: New: Obama’s Call to Expand Social Security Shows Sanders’ Clout https://t.co/142pkd9wnd",None,0,577,0.0
@BernieSanders,14:58:49,06/03/16,UTC,"@ErikaAndiola I’ll be in Fairfield and Santa Rosa today, Viviana. Hope to see you there!",150135224,297,117,0.0
@BernieSanders,14:22:07,06/03/16,UTC,"I have to say that I am delighted that Sec. Clinton month after month seems to be adopting more of the positions that we have advocated.",None,8238,2763,0.0
@BernieSanders,12:55:07,06/03/16,UTC,"We must not allow our children to be poisoned by toxic drinking water just so a handful of fossil fuel companies can make even more profits.",None,5511,2199,0.0
